source,author,title,description,url,publishedAt,content
ETF Daily News,MarketBeat News,Sather Financial Group Inc Has $2.05 Million Stake in JPMorgan Chase & Co. (NYSE:JPM),"Sather Financial Group Inc boosted its holdings in JPMorgan Chase & Co. (NYSE:JPM) by 17.3% during the 3rd quarter, HoldingsChannel reports. The institutional investor owned 9,709 shares of the financial services provider’s stock after acquiring an additional…",https://www.etfdailynews.com/2024/11/21/sather-financial-group-inc-has-2-05-million-stake-in-jpmorgan-chase-co-nysejpm/,2024-11-21T08:58:54Z,"Sather Financial Group Inc boosted its holdings in JPMorgan Chase &amp; Co. (NYSE:JPM) by 17.3% during the 3rd quarter, HoldingsChannel reports. The institutional investor owned 9,709 shares of the f… [+5973 chars]"
ETF Daily News,MarketBeat News,Access Investment Management LLC Has $10.54 Million Stake in JPMorgan Chase & Co. (NYSE:JPM),"Access Investment Management LLC lowered its stake in JPMorgan Chase & Co. (NYSE:JPM – Free Report) by 16.7% during the 3rd quarter, according to its most recent disclosure with the Securities and Exchange Commission. The fund owned 50,000 shares of the finan…",https://www.etfdailynews.com/2024/11/16/access-investment-management-llc-has-10-54-million-stake-in-jpmorgan-chase-co-nysejpm/,2024-11-16T10:53:22Z,"Access Investment Management LLC lowered its stake in JPMorgan Chase &amp; Co. (NYSE:JPM – Free Report) by 16.7% during the 3rd quarter, according to its most recent disclosure with the Securities an… [+5881 chars]"
ETF Daily News,MarketBeat News,tru Independence LLC Has $6.51 Million Stake in JPMorgan Chase & Co. (NYSE:JPM),"tru Independence LLC reduced its holdings in JPMorgan Chase & Co. (NYSE:JPM) by 17.6% during the 3rd quarter, HoldingsChannel reports. The firm owned 30,854 shares of the financial services provider’s stock after selling 6,599 shares during the quarter. JPMor…",https://www.etfdailynews.com/2024/11/16/tru-independence-llc-has-6-51-million-stake-in-jpmorgan-chase-co-nysejpm/,2024-11-16T10:53:20Z,"tru Independence LLC reduced its holdings in JPMorgan Chase &amp; Co. (NYSE:JPM) by 17.6% during the 3rd quarter, HoldingsChannel reports. The firm owned 30,854 shares of the financial services provi… [+6183 chars]"
ETF Daily News,MarketBeat News,JPMorgan Chase & Co. (NYSE:JPM) Shares Purchased by Opinicus Capital Inc.,"Opinicus Capital Inc. boosted its position in JPMorgan Chase & Co. (NYSE:JPM) by 0.4% in the 3rd quarter, according to its most recent filing with the Securities and Exchange Commission. The fund owned 19,477 shares of the financial services provider’s stock …",https://www.etfdailynews.com/2024/11/16/jpmorgan-chase-co-nysejpm-shares-purchased-by-opinicus-capital-inc/,2024-11-16T11:44:55Z,"Opinicus Capital Inc. boosted its position in JPMorgan Chase &amp; Co. (NYSE:JPM) by 0.4% in the 3rd quarter, according to its most recent filing with the Securities and Exchange Commission. The fund… [+6229 chars]"
ETF Daily News,MarketBeat News,Addison Advisors LLC Sells 231 Shares of JPMorgan Chase & Co. (NYSE:JPM),"Addison Advisors LLC trimmed its stake in shares of JPMorgan Chase & Co. (NYSE:JPM) by 2.5% in the third quarter, HoldingsChannel reports. The firm owned 8,933 shares of the financial services provider’s stock after selling 231 shares during the quarter. Addi…",https://www.etfdailynews.com/2024/11/16/addison-advisors-llc-sells-231-shares-of-jpmorgan-chase-co-nysejpm/,2024-11-16T10:00:59Z,"Addison Advisors LLC trimmed its stake in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) by 2.5% in the third quarter, HoldingsChannel reports. The firm owned 8,933 shares of the financial services pr… [+5999 chars]"
ETF Daily News,MarketBeat News,JPMorgan Chase & Co. Issues Pessimistic Forecast for Medtronic (NYSE:MDT) Stock Price,Medtronic (NYSE:MDT – Free Report) had its target price lowered by JPMorgan Chase & Co. from $99.00 to $96.00 in a report released on Friday morning. JPMorgan Chase & Co. currently has a neutral rating on the medical technology company’s stock. A number of ot…,https://www.etfdailynews.com/2024/11/18/jpmorgan-chase-co-issues-pessimistic-forecast-for-medtronic-nysemdt-stock-price/,2024-11-18T08:38:51Z,Medtronic (NYSE:MDT – Free Report) had its target price lowered by JPMorgan Chase &amp; Co. from $99.00 to $96.00 in a report released on Friday morning. JPMorgan Chase &amp; Co. currently has a neut… [+4623 chars]
ETF Daily News,MarketBeat News,Rossmore Private Capital Purchases 319 Shares of JPMorgan Chase & Co. (NYSE:JPM),"Rossmore Private Capital increased its holdings in shares of JPMorgan Chase & Co. (NYSE:JPM) by 0.3% in the third quarter, Holdings Channel reports. The firm owned 93,284 shares of the financial services provider’s stock after acquiring an additional 319 shar…",https://www.etfdailynews.com/2024/11/18/rossmore-private-capital-purchases-319-shares-of-jpmorgan-chase-co-nysejpm/,2024-11-18T10:43:17Z,"Rossmore Private Capital increased its holdings in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) by 0.3% in the third quarter, Holdings Channel reports. The firm owned 93,284 shares of the financial … [+5655 chars]"
ETF Daily News,MarketBeat News,"Bretton Capital Management LLC Acquires Shares of 24,000 JPMorgan Chase & Co. (NYSE:JPM)","Bretton Capital Management LLC bought a new position in shares of JPMorgan Chase & Co. (NYSE:JPM) during the third quarter, Holdings Channel.com reports. The firm bought 24,000 shares of the financial services provider’s stock, valued at approximately $5,061,…",https://www.etfdailynews.com/2024/11/19/bretton-capital-management-llc-acquires-shares-of-24000-jpmorgan-chase-co-nysejpm/,2024-11-19T11:42:53Z,"Bretton Capital Management LLC bought a new position in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) during the third quarter, Holdings Channel.com reports. The firm bought 24,000 shares of the fina… [+5936 chars]"
ETF Daily News,MarketBeat News,"Ferguson Wellman Capital Management Inc. Sells 4,402 Shares of JPMorgan Chase & Co. (NYSE:JPM)","Ferguson Wellman Capital Management Inc. lowered its stake in JPMorgan Chase & Co. (NYSE:JPM) by 0.6% during the third quarter, according to its most recent Form 13F filing with the SEC. The firm owned 767,664 shares of the financial services provider’s stock…",https://www.etfdailynews.com/2024/11/19/ferguson-wellman-capital-management-inc-sells-4402-shares-of-jpmorgan-chase-co-nysejpm/,2024-11-19T10:02:59Z,"Ferguson Wellman Capital Management Inc. lowered its stake in JPMorgan Chase &amp; Co. (NYSE:JPM) by 0.6% during the third quarter, according to its most recent Form 13F filing with the SEC. The firm… [+6219 chars]"
ETF Daily News,MarketBeat News,Intrepid Financial Planning Group LLC Sells 131 Shares of JPMorgan Chase & Co. (NYSE:JPM),"Intrepid Financial Planning Group LLC lessened its holdings in shares of JPMorgan Chase & Co. (NYSE:JPM) by 0.6% during the 3rd quarter, according to its most recent disclosure with the SEC. The fund owned 22,170 shares of the financial services provider’s st…",https://www.etfdailynews.com/2024/11/17/intrepid-financial-planning-group-llc-sells-131-shares-of-jpmorgan-chase-co-nysejpm/,2024-11-17T10:59:00Z,"Intrepid Financial Planning Group LLC lessened its holdings in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) by 0.6% during the 3rd quarter, according to its most recent disclosure with the SEC. The … [+6215 chars]"
ETF Daily News,MarketBeat News,Miramar Capital LLC Sells 463 Shares of JPMorgan Chase & Co. (NYSE:JPM),"Miramar Capital LLC decreased its holdings in JPMorgan Chase & Co. (NYSE:JPM) by 0.9% in the third quarter, according to its most recent disclosure with the Securities & Exchange Commission. The institutional investor owned 52,074 shares of the financial serv…",https://www.etfdailynews.com/2024/11/20/miramar-capital-llc-sells-463-shares-of-jpmorgan-chase-co-nysejpm/,2024-11-20T11:44:51Z,"Miramar Capital LLC decreased its holdings in JPMorgan Chase &amp; Co. (NYSE:JPM) by 0.9% in the third quarter, according to its most recent disclosure with the Securities &amp; Exchange Commission. … [+6170 chars]"
ETF Daily News,MarketBeat News,JPMorgan Chase & Co. (NYSE:JPM) Shares Sold by KCM Investment Advisors LLC,"KCM Investment Advisors LLC trimmed its stake in JPMorgan Chase & Co. (NYSE:JPM) by 0.1% in the third quarter, HoldingsChannel.com reports. The fund owned 176,033 shares of the financial services provider’s stock after selling 248 shares during the quarter. J…",https://www.etfdailynews.com/2024/11/20/jpmorgan-chase-co-nysejpm-shares-sold-by-kcm-investment-advisors-llc/,2024-11-20T11:44:52Z,"KCM Investment Advisors LLC trimmed its stake in JPMorgan Chase &amp; Co. (NYSE:JPM) by 0.1% in the third quarter, HoldingsChannel.com reports. The fund owned 176,033 shares of the financial services… [+5473 chars]"
ETF Daily News,MarketBeat News,JPMorgan Chase & Co. (NYSE:JPM) Shares Bought by Intellectus Partners LLC,"Intellectus Partners LLC grew its position in JPMorgan Chase & Co. (NYSE:JPM) by 2.6% in the third quarter, HoldingsChannel reports. The institutional investor owned 19,767 shares of the financial services provider’s stock after acquiring an additional 500 sh…",https://www.etfdailynews.com/2024/11/20/jpmorgan-chase-co-nysejpm-shares-bought-by-intellectus-partners-llc/,2024-11-20T09:02:55Z,"Intellectus Partners LLC grew its position in JPMorgan Chase &amp; Co. (NYSE:JPM) by 2.6% in the third quarter, HoldingsChannel reports. The institutional investor owned 19,767 shares of the financia… [+5931 chars]"
ETF Daily News,MarketBeat News,JPMorgan Chase & Co. Forecasts Strong Price Appreciation for Vertiv (NYSE:VRT) Stock,"Vertiv (NYSE:VRT – Get Free Report) had its target price upped by research analysts at JPMorgan Chase & Co. from $124.00 to $132.00 in a research note issued to investors on Tuesday,Benzinga reports. The brokerage currently has an “overweight” rating on the s…",https://www.etfdailynews.com/2024/11/21/jpmorgan-chase-co-forecasts-strong-price-appreciation-for-vertiv-nysevrt-stock/,2024-11-21T10:02:53Z,"Vertiv (NYSE:VRT – Get Free Report) had its target price upped by research analysts at JPMorgan Chase &amp; Co. from $124.00 to $132.00 in a research note issued to investors on Tuesday,Benzinga repo… [+4934 chars]"
Forbes,"Sughnen Yongo, Contributor, 
 Sughnen Yongo, Contributor
 https://www.forbes.com/sites/sughnenyongo/",How Black Women Veterans Are Redefining Entrepreneurship,Her journey as a business owner began in the military when a senior male colleague underestimated her abilities because of her gender.,https://www.forbes.com/sites/sughnenyongo/2024/11/21/how-black-women-veterans-are-redefining-entrepreneurship/,2024-11-21T20:37:33Z,"Returning Black soldier standing near American flag welcome home sign.
getty
Black women veterans are leading a wave of entrepreneurship that is giving back to their communities and changing percep… [+7530 chars]"
ETF Daily News,MarketBeat News,JPMorgan Chase & Co. (NYSE:JPM) Shares Bought by Parthenon LLC,"Parthenon LLC lifted its stake in shares of JPMorgan Chase & Co. (NYSE:JPM) by 0.5% in the third quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission. The institutional investor owned 44,573 shares of the financial…",https://www.etfdailynews.com/2024/11/18/jpmorgan-chase-co-nysejpm-shares-bought-by-parthenon-llc/,2024-11-18T10:43:10Z,"Parthenon LLC lifted its stake in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) by 0.5% in the third quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission.… [+5667 chars]"
ETF Daily News,MarketBeat News,JPMorgan Chase & Co. (NYSE:JPM) Position Lessened by Platform Technology Partners,"Platform Technology Partners trimmed its holdings in shares of JPMorgan Chase & Co. (NYSE:JPM) by 1.5% in the 3rd quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The institutional investor owned 28,11…",https://www.etfdailynews.com/2024/11/17/jpmorgan-chase-co-nysejpm-position-lessened-by-platform-technology-partners/,2024-11-17T10:58:58Z,"Platform Technology Partners trimmed its holdings in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) by 1.5% in the 3rd quarter, according to the company in its most recent disclosure with the Securiti… [+6069 chars]"
ETF Daily News,MarketBeat News,Chase Investment Counsel Corp Acquires New Holdings in JPMorgan Chase & Co. (NYSE:JPM),"Chase Investment Counsel Corp bought a new position in JPMorgan Chase & Co. (NYSE:JPM) in the third quarter, Holdings Channel.com reports. The institutional investor bought 1,006 shares of the financial services provider’s stock, valued at approximately $212,…",https://www.etfdailynews.com/2024/11/18/chase-investment-counsel-corp-acquires-new-holdings-in-jpmorgan-chase-co-nysejpm/,2024-11-18T10:43:14Z,"Chase Investment Counsel Corp bought a new position in JPMorgan Chase &amp; Co. (NYSE:JPM) in the third quarter, Holdings Channel.com reports. The institutional investor bought 1,006 shares of the fi… [+6064 chars]"
ETF Daily News,MarketBeat News,Fountainhead AM LLC Lowers Position in JPMorgan Chase & Co. (NYSE:JPM),"Fountainhead AM LLC lessened its stake in shares of JPMorgan Chase & Co. (NYSE:JPM – Free Report) by 3.1% during the 3rd quarter, according to its most recent filing with the Securities and Exchange Commission. The institutional investor owned 3,260 shares of…",https://www.etfdailynews.com/2024/11/17/fountainhead-am-llc-lowers-position-in-jpmorgan-chase-co-nysejpm/,2024-11-17T09:10:51Z,"Fountainhead AM LLC lessened its stake in shares of JPMorgan Chase &amp; Co. (NYSE:JPM – Free Report) by 3.1% during the 3rd quarter, according to its most recent filing with the Securities and Excha… [+5441 chars]"
ETF Daily News,MarketBeat News,"JPMorgan Chase & Co. Downgrades Grupo Televisa, S.A.B. (NYSE:TV) to Neutral","JPMorgan Chase & Co. downgraded shares of Grupo Televisa, S.A.B. (NYSE:TV – Free Report) from an overweight rating to a neutral rating in a research report released on Thursday morning, Marketbeat Ratings reports. A number of other research firms have also we…",https://www.etfdailynews.com/2024/11/18/jpmorgan-chase-co-downgrades-grupo-televisa-s-a-b-nysetv-to-neutral/,2024-11-18T07:32:50Z,"JPMorgan Chase &amp; Co. downgraded shares of Grupo Televisa, S.A.B. (NYSE:TV – Free Report) from an overweight rating to a neutral rating in a research report released on Thursday morning, Marketbea… [+4229 chars]"
ETF Daily News,MarketBeat News,BCM Advisors LLC Grows Stake in JPMorgan Chase & Co. (NYSE:JPM),"BCM Advisors LLC raised its stake in JPMorgan Chase & Co. (NYSE:JPM – Free Report) by 382.1% during the third quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission. The fund owned 6,099 shares of the …",https://www.etfdailynews.com/2024/11/19/bcm-advisors-llc-grows-stake-in-jpmorgan-chase-co-nysejpm/,2024-11-19T11:42:52Z,"BCM Advisors LLC raised its stake in JPMorgan Chase &amp; Co. (NYSE:JPM – Free Report) by 382.1% during the third quarter, according to the company in its most recent Form 13F filing with the Securit… [+5957 chars]"
ETF Daily News,MarketBeat News,bluebird bio (NASDAQ:BLUE) Downgraded by JPMorgan Chase & Co. to “Underweight”,"JPMorgan Chase & Co. cut shares of bluebird bio (NASDAQ:BLUE – Free Report) from a neutral rating to an underweight rating in a research note published on Friday morning, Marketbeat Ratings reports. A number of other brokerages have also weighed in on BLUE. C…",https://www.etfdailynews.com/2024/11/18/bluebird-bio-nasdaqblue-downgraded-by-jpmorgan-chase-co-to-underweight/,2024-11-18T07:10:45Z,"JPMorgan Chase &amp; Co. cut shares of bluebird bio (NASDAQ:BLUE – Free Report) from a neutral rating to an underweight rating in a research note published on Friday morning, Marketbeat Ratings repor… [+4201 chars]"
ETF Daily News,MarketBeat News,WealthPLAN Partners LLC Reduces Stake in JPMorgan Chase & Co. (NYSE:JPM),"WealthPLAN Partners LLC cut its stake in shares of JPMorgan Chase & Co. (NYSE:JPM) by 12.6% during the third quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The firm owned 27,321 shares o…",https://www.etfdailynews.com/2024/11/17/wealthplan-partners-llc-reduces-stake-in-jpmorgan-chase-co-nysejpm/,2024-11-17T10:16:53Z,"WealthPLAN Partners LLC cut its stake in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) by 12.6% during the third quarter, according to the company in its most recent Form 13F filing with the Securiti… [+6031 chars]"
ETF Daily News,MarketBeat News,JPMorgan Chase & Co. Cuts AbbVie (NYSE:ABBV) Price Target to $200.00,"AbbVie (NYSE:ABBV – Free Report) had its price objective trimmed by JPMorgan Chase & Co. from $210.00 to $200.00 in a research report report published on Wednesday morning,Benzinga reports. The firm currently has an overweight rating on the stock. Other equit…",https://www.etfdailynews.com/2024/11/16/jpmorgan-chase-co-cuts-abbvie-nyseabbv-price-target-to-200-00/,2024-11-16T10:04:57Z,"AbbVie (NYSE:ABBV – Free Report) had its price objective trimmed by JPMorgan Chase &amp; Co. from $210.00 to $200.00 in a research report report published on Wednesday morning,Benzinga reports. The f… [+4745 chars]"
ETF Daily News,MarketBeat News,Savvy Advisors Inc. Boosts Stake in JPMorgan Chase & Co. (NYSE:JPM),"Savvy Advisors Inc. boosted its position in shares of JPMorgan Chase & Co. (NYSE:JPM) by 25.3% during the 3rd quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The firm owned 13,446 shares of the financ…",https://www.etfdailynews.com/2024/11/17/savvy-advisors-inc-boosts-stake-in-jpmorgan-chase-co-nysejpm/,2024-11-17T10:58:47Z,"Savvy Advisors Inc. boosted its position in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) by 25.3% during the 3rd quarter, according to the company in its most recent disclosure with the Securities &… [+5570 chars]"
The Times of India,The Feed,"I haven't had a boss in 25 years; Jamie Dimon says this on not getting any job from Donald Trump, here's what all he said",JPMorgan Chase CEO Jamie Dimon opens up about why he declined President-elect Donald Trump's offer to join his administration as Treasury Secretary.,https://economictimes.indiatimes.com/news/international/us/i-havent-had-a-boss-in-25-years-jamie-dimon-says-this-on-not-getting-any-job-from-donald-trump-heres-what-all-he-said/articleshow/115368649.cms,2024-11-16T18:32:27Z,"Marketing
Future of Marketing &amp; Branding Masterclass
By - Dr. David Aaker, Professor Emeritus at the Haas School of Business, UC Berkeley, Author | Speaker | Thought Leader | Branding Consultan… [+14 chars]"
Biztoc.com,nytimes.com,How High School Graduates Can Improve Their Earnings Potential,"Isaiah Mowbray left college after a semester but enrolled in a job-training program, learned to code and is now a senior software engineer at JPMorgan Chase.",https://biztoc.com/x/b415d0dd613bb8f2,2024-11-21T07:05:52Z,"Isaiah Mowbray left college after a semester but enrolled in a job-training program, learned to code and is now a senior software engineer at JPMorgan Chase.
This story appeared on nytimes.com, 2024… [+15 chars]"
